Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4)
(dd/mm/yyyy),(mm),(oC),(oC),(MJ/m^2),(mm),(mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm)
1/1/2012,6.455,39,17,31,0,7.345,0.127,0.139,0.156,0.156
2/1/2012,4.051,40.5,20,29,0,2.405,0.103,0.139,0.156,0.156
3/1/2012,2.671,38.5,22,20,0,1.38,0.089,0.139,0.156,0.156
4/1/2012,1.767,29,20,29,0,1.08,0.078,0.139,0.156,0.156
5/1/2012,1.753,28.5,11,30,0,0.918,0.069,0.139,0.156,0.156
6/1/2012,1.738,29,10.5,28,0,0.813,0.061,0.139,0.156,0.156
7/1/2012,1.721,34.5,14.5,18,0,0.737,0.054,0.139,0.156,0.156
8/1/2012,1.703,28.5,20,17,3,3.526,0.049,0.139,0.156,0.156
9/1/2012,1.683,24.5,11.5,24,0.4,1.043,0.043,0.139,0.156,0.156
10/1/2012,1.664,25,13,24,0,0.27,0.04,0.139,0.156,0.156
11/1/2012,1.644,21.5,12,24,0,0.02,0.04,0.138,0.156,0.156
12/1/2012,1.624,24.5,7.5,27,0,0.02,0.04,0.138,0.156,0.156
13/01/2012,1.604,25.5,12.5,24,0,0.02,0.04,0.138,0.156,0.156
14/01/2012,1.585,26,12,32,0,0.02,0.04,0.138,0.156,0.156
15/01/2012,1.565,31,12,31,0,0.02,0.04,0.138,0.156,0.156
16/01/2012,1.545,33.5,16.5,30,0,0.02,0.04,0.138,0.156,0.156
17/01/2012,1.526,36,21.5,27,0,0.02,0.04,0.138,0.156,0.156
18/01/2012,1.506,35,22,26,0.3,0.32,0.04,0.138,0.156,0.156
19/01/2012,1.487,34.5,15,31,0.6,0.62,0.04,0.138,0.156,0.156
20/01/2012,1.467,34,14,27,0,0.02,0.04,0.138,0.156,0.156
21/01/2012,1.448,33,15.5,31,0,0.02,0.04,0.138,0.156,0.156
22/01/2012,1.428,34.5,19.5,30,0,0.02,0.04,0.138,0.156,0.156
23/01/2012,1.409,33.5,19.5,31,0,0.02,0.04,0.138,0.156,0.156
24/01/2012,1.389,35.5,17.5,28,0,0.019,0.04,0.138,0.156,0.156
25/01/2012,1.37,37,17,30,0,0.019,0.04,0.138,0.156,0.156
26/01/2012,1.35,33.5,16,30,0,0.019,0.04,0.138,0.156,0.156
27/01/2012,1.331,36,17,29,0,0.019,0.04,0.137,0.156,0.156
28/01/2012,1.312,35.5,21.5,25,0,0.019,0.04,0.137,0.156,0.156
29/01/2012,1.292,34.5,20,22,0,0.019,0.04,0.137,0.156,0.156
30/01/2012,1.887,28,21,16,7.9,3.325,0.086,0.137,0.156,0.156
31/01/2012,1.621,24,13,29,5.2,5.466,0.084,0.137,0.156,0.156
1/2/2012,1.258,28,11,29,0,1.392,0.07,0.137,0.156,0.156
2/2/2012,1.243,27.5,13.5,15,0,0.77,0.062,0.137,0.156,0.156
3/2/2012,1.227,31.5,14,24,0,0.705,0.055,0.137,0.156,0.156
4/2/2012,1.21,35,14.5,26,0,0.654,0.049,0.137,0.156,0.156
5/2/2012,1.191,32,23,14,0.1,0.712,0.043,0.137,0.156,0.156
6/2/2012,1.172,25,9.5,28,0.7,0.998,0.04,0.137,0.156,0.156
7/2/2012,1.153,25,10.5,25,0,0.019,0.04,0.137,0.156,0.156
8/2/2012,1.134,25.5,9,29,0,0.019,0.04,0.137,0.156,0.156
9/2/2012,1.115,27,9.5,25,0,0.019,0.04,0.137,0.156,0.156
10/2/2012,1.095,28.5,11.5,23,0,0.019,0.04,0.137,0.156,0.156
11/2/2012,1.076,27,14,23,0,0.019,0.04,0.137,0.156,0.156
12/2/2012,1.057,27.5,14,23,0,0.019,0.04,0.137,0.156,0.156
13/02/2012,1.038,29.5,13.5,27,0,0.019,0.04,0.136,0.156,0.156
14/02/2012,1.019,32.5,14.5,27,0,0.019,0.04,0.136,0.156,0.156
15/02/2012,1,35.5,16.5,22,0,0.019,0.04,0.136,0.156,0.156
16/02/2012,0.981,35,20.5,18,0,0.019,0.04,0.136,0.156,0.156
17/02/2012,0.962,31,17,25,0.4,0.419,0.04,0.136,0.156,0.156
18/02/2012,0.943,33.5,14.5,24,0,0.019,0.04,0.136,0.156,0.156
19/02/2012,0.925,31,18.5,12,0,0.019,0.04,0.136,0.156,0.156
20/02/2012,0.906,26.5,19,13,0.4,0.419,0.04,0.136,0.156,0.156
21/02/2012,0.895,28,15.5,19,7.8,3.927,0.079,0.136,0.156,0.156
22/02/2012,0.878,31,14.5,25,0,2.725,0.052,0.136,0.156,0.156
23/02/2012,0.861,35,14,26,0,0.611,0.046,0.136,0.156,0.156
24/02/2012,0.842,37.5,14.5,26,0,0.576,0.04,0.136,0.156,0.156
25/02/2012,0.823,37.5,18.5,27,0,0.044,0.04,0.136,0.156,0.156
26/02/2012,0.804,35,23.5,22,0,0.019,0.04,0.136,0.156,0.156
27/02/2012,39.706,27.5,21.5,6,44.2,1.317,0.339,0.179,0.156,0.156
28/02/2012,60.516,26,19.5,8,26,1.715,0.336,0.249,0.156,0.156
29/02/2012,59.097,23,15.5,9,0.4,1.819,0.266,0.265,0.159,0.156
1/3/2012,91.483,24,16.5,7,53.6,1.453,0.342,0.312,0.195,0.156
2/3/2012,89.954,22.5,15.5,8,0.1,1.629,0.27,0.302,0.223,0.156
3/3/2012,93.694,18,15.5,6,4.9,1.16,0.26,0.295,0.247,0.156
4/3/2012,99.689,25,15.5,17,9.6,3.605,0.257,0.293,0.269,0.156
5/3/2012,96.551,22.5,12.5,18,0,3.138,0.203,0.284,0.285,0.156
6/3/2012,93.716,23,11.5,22,0,2.835,0.175,0.274,0.295,0.157
7/3/2012,92.288,23.5,12.5,25,0,1.427,0.162,0.268,0.3,0.157
8/3/2012,91.186,25,13,24,0,1.102,0.152,0.265,0.302,0.158
9/3/2012,90.254,27.5,11.5,23,0,0.932,0.143,0.262,0.303,0.16
10/3/2012,89.432,23,10.5,24,0,0.822,0.136,0.261,0.302,0.161
11/3/2012,88.688,25,9,20,0,0.744,0.13,0.26,0.302,0.162
12/3/2012,88.004,26.5,10.5,23,0,0.685,0.124,0.26,0.301,0.163
13/03/2012,87.366,29.5,10,23,0,0.637,0.119,0.26,0.3,0.163
14/03/2012,86.767,32,13.5,12,0,0.599,0.114,0.259,0.3,0.164
15/03/2012,86.201,30.5,18.5,14,0.1,0.667,0.109,0.259,0.3,0.164
16/03/2012,94.525,23.5,17.5,12,10.9,2.576,0.186,0.261,0.3,0.164
17/03/2012,90.27,23,10.5,22,0.2,4.455,0.145,0.26,0.3,0.164
18/03/2012,89.447,25,10.5,22,0,0.824,0.137,0.26,0.3,0.165
19/03/2012,88.701,26,12,22,0,0.745,0.131,0.26,0.299,0.165
20/03/2012,88.016,28.5,15,19,0,0.686,0.125,0.259,0.299,0.165
21/03/2012,87.378,21.5,16.5,15,0.1,0.738,0.12,0.259,0.299,0.165
22/03/2012,86.778,21,8,21,0.2,0.8,0.115,0.259,0.298,0.165
23/03/2012,86.211,19,10.5,19,0,0.567,0.11,0.259,0.298,0.166
24/03/2012,85.671,21,9.5,11,0,0.54,0.106,0.259,0.298,0.166
25/03/2012,85.156,21,8.5,15,0,0.516,0.102,0.258,0.297,0.166
26/03/2012,84.661,22.5,6.5,20,0,0.495,0.098,0.258,0.297,0.166
