Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6)
(dd/mm/yyyy),(mm),(oC),(oC),(MJ/m^2),(mm),(mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm)
1/1/2012,10.227,39,17,31,0,0.573,0.14,0.191,0.248,0.203,0.2,0.2
2/1/2012,9.682,40.5,20,29,0,0.545,0.137,0.191,0.248,0.203,0.2,0.2
3/1/2012,9.162,38.5,22,20,0,0.52,0.133,0.191,0.248,0.203,0.2,0.2
4/1/2012,8.664,29,20,29,0,0.498,0.13,0.191,0.248,0.203,0.2,0.2
5/1/2012,8.185,28.5,11,30,0,0.479,0.127,0.191,0.248,0.203,0.2,0.2
6/1/2012,7.722,29,10.5,28,0,0.462,0.123,0.191,0.248,0.203,0.2,0.2
7/1/2012,7.275,34.5,14.5,18,0,0.447,0.121,0.191,0.248,0.203,0.2,0.2
8/1/2012,6.842,28.5,20,17,3,3.433,0.118,0.191,0.248,0.203,0.2,0.2
9/1/2012,6.422,24.5,11.5,24,0.4,0.82,0.115,0.191,0.248,0.203,0.2,0.2
10/1/2012,6.013,25,13,24,0,0.409,0.112,0.191,0.248,0.203,0.2,0.2
11/1/2012,5.615,21.5,12,24,0,0.398,0.109,0.191,0.248,0.203,0.2,0.2
12/1/2012,5.227,24.5,7.5,27,0,0.388,0.107,0.191,0.248,0.203,0.2,0.2
13/01/2012,4.848,25.5,12.5,24,0,0.379,0.104,0.191,0.248,0.203,0.2,0.2
14/01/2012,4.478,26,12,32,0,0.37,0.102,0.191,0.248,0.203,0.2,0.2
15/01/2012,4.115,31,12,31,0,0.362,0.099,0.191,0.248,0.203,0.2,0.2
16/01/2012,3.76,33.5,16.5,30,0,0.355,0.097,0.191,0.248,0.203,0.2,0.2
17/01/2012,3.413,36,21.5,27,0,0.348,0.095,0.191,0.248,0.203,0.2,0.2
18/01/2012,3.072,35,22,26,0.3,0.641,0.092,0.191,0.248,0.203,0.2,0.2
19/01/2012,2.737,34.5,15,31,0.6,0.935,0.09,0.191,0.248,0.203,0.2,0.2
20/01/2012,2.408,34,14,27,0,0.329,0.088,0.191,0.248,0.203,0.2,0.2
21/01/2012,2.085,33,15.5,31,0,0.323,0.086,0.191,0.248,0.203,0.2,0.2
22/01/2012,1.767,34.5,19.5,30,0,0.318,0.084,0.191,0.248,0.203,0.2,0.2
23/01/2012,1.455,33.5,19.5,31,0,0.313,0.082,0.191,0.248,0.203,0.2,0.2
24/01/2012,1.147,35.5,17.5,28,0,0.308,0.08,0.191,0.248,0.203,0.2,0.2
25/01/2012,0.844,37,17,30,0,0.303,0.078,0.191,0.248,0.203,0.2,0.2
26/01/2012,0.545,33.5,16,30,0,0.299,0.076,0.191,0.248,0.203,0.2,0.2
27/01/2012,0.251,36,17,29,0,0.294,0.074,0.191,0.248,0.203,0.2,0.2
28/01/2012,0,35.5,21.5,25,0,0.29,0.072,0.191,0.248,0.203,0.2,0.2
29/01/2012,0,34.5,20,22,0,0.286,0.07,0.191,0.248,0.203,0.2,0.2
30/01/2012,4.316,28,21,16,7.9,3.258,0.101,0.191,0.248,0.203,0.2,0.2
31/01/2012,4.16,24,13,29,5.2,5.356,0.1,0.191,0.248,0.203,0.2,0.2
1/2/2012,3.173,28,11,29,0,0.987,0.093,0.191,0.248,0.203,0.2,0.2
2/2/2012,2.836,27.5,13.5,15,0,0.337,0.091,0.191,0.248,0.203,0.2,0.2
3/2/2012,2.506,31.5,14,24,0,0.331,0.089,0.191,0.248,0.203,0.2,0.2
4/2/2012,2.181,35,14.5,26,0,0.325,0.087,0.191,0.248,0.203,0.2,0.2
5/2/2012,1.862,32,23,14,0.1,0.419,0.084,0.191,0.248,0.203,0.2,0.2
6/2/2012,1.547,25,9.5,28,0.7,1.014,0.082,0.191,0.248,0.203,0.2,0.2
7/2/2012,1.238,25,10.5,25,0,0.309,0.08,0.191,0.248,0.203,0.2,0.2
8/2/2012,0.934,25.5,9,29,0,0.304,0.078,0.191,0.248,0.203,0.2,0.2
9/2/2012,0.634,27,9.5,25,0,0.3,0.076,0.191,0.248,0.203,0.2,0.2
10/2/2012,0.338,28.5,11.5,23,0,0.296,0.074,0.191,0.248,0.203,0.2,0.2
11/2/2012,0.046,27,14,23,0,0.292,0.072,0.191,0.248,0.203,0.2,0.2
12/2/2012,0,27.5,14,23,0,0.288,0.07,0.191,0.248,0.203,0.2,0.2
13/02/2012,0,29.5,13.5,27,0,0.284,0.069,0.191,0.248,0.203,0.2,0.2
14/02/2012,0,32.5,14.5,27,0,0.28,0.067,0.191,0.248,0.203,0.2,0.2
15/02/2012,0,35.5,16.5,22,0,0.277,0.065,0.191,0.248,0.203,0.2,0.2
16/02/2012,0,35,20.5,18,0,0.273,0.063,0.191,0.248,0.203,0.2,0.2
