Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6),sws(7),sws(8)
(dd/mm/yyyy),(mm),(oC),(oC),(MJ/m^2),(mm),(mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm),(mm/mm)
1/1/2012,23.175,38.5,17,31,0,7.225,0.327,0.286,0.21,0.21,0.21,0.21,0.21,0.21
2/1/2012,20.692,40.5,20.5,29,0,2.483,0.302,0.286,0.211,0.21,0.21,0.21,0.21,0.21
3/1/2012,19.301,39,22.5,20,0,1.391,0.288,0.286,0.211,0.21,0.21,0.21,0.21,0.21
4/1/2012,18.215,29,20.5,29,0,1.086,0.277,0.286,0.211,0.21,0.21,0.21,0.21,0.21
5/1/2012,17.294,29,11,30,0,0.922,0.268,0.285,0.211,0.21,0.21,0.21,0.21,0.21
6/1/2012,16.478,29,10.5,28,0,0.815,0.26,0.285,0.211,0.21,0.21,0.21,0.21,0.21
7/1/2012,15.74,35,14.5,19,0,0.739,0.253,0.284,0.212,0.21,0.21,0.21,0.21,0.21
8/1/2012,15.059,28.5,20,17,2.8,3.481,0.247,0.284,0.212,0.21,0.21,0.21,0.21,0.21
9/1/2012,14.425,24.5,11.5,24,0.1,0.734,0.241,0.284,0.212,0.21,0.21,0.21,0.21,0.21
10/1/2012,13.829,25,13,24,0,0.596,0.235,0.283,0.212,0.21,0.21,0.21,0.21,0.21
11/1/2012,13.264,22,12.5,24,0,0.564,0.23,0.283,0.213,0.21,0.21,0.21,0.21,0.21
12/1/2012,12.727,24.5,7.5,28,0,0.537,0.225,0.282,0.213,0.21,0.21,0.21,0.21,0.21
13/01/2012,12.214,25.5,12,25,0,0.513,0.22,0.282,0.213,0.21,0.21,0.21,0.21,0.21
14/01/2012,11.721,26,12,32,0,0.493,0.215,0.281,0.213,0.21,0.21,0.21,0.21,0.21
15/01/2012,11.247,31.5,12,31,0,0.474,0.211,0.281,0.214,0.21,0.21,0.21,0.21,0.21
16/01/2012,11.116,33.5,16.5,30,0,0.458,0.207,0.28,0.214,0.21,0.21,0.21,0.21,0.21
17/01/2012,11.073,36,21.5,27,0,0.443,0.203,0.28,0.214,0.21,0.21,0.21,0.21,0.21
18/01/2012,11.029,35,22,26,0,0.429,0.199,0.279,0.214,0.21,0.21,0.21,0.21,0.21
19/01/2012,10.984,34.5,15,31,1.2,1.617,0.195,0.279,0.214,0.21,0.21,0.21,0.21,0.21
20/01/2012,10.936,34.5,14,26,0,0.406,0.192,0.278,0.215,0.21,0.21,0.21,0.21,0.21
21/01/2012,10.888,33.5,15,31,0,0.395,0.188,0.278,0.215,0.21,0.21,0.21,0.21,0.21
22/01/2012,10.838,34.5,19.5,30,0,0.385,0.185,0.277,0.215,0.21,0.21,0.21,0.21,0.21
23/01/2012,10.787,33.5,19.5,31,0,0.376,0.182,0.277,0.215,0.21,0.21,0.21,0.21,0.21
24/01/2012,10.734,35,18,28,0,0.368,0.178,0.276,0.215,0.21,0.21,0.21,0.21,0.21
25/01/2012,10.681,37,17,30,0,0.36,0.175,0.275,0.216,0.21,0.21,0.21,0.21,0.21
26/01/2012,10.626,33.5,16.5,30,0,0.353,0.172,0.275,0.216,0.21,0.21,0.21,0.21,0.21
27/01/2012,10.571,36,17,29,0,0.346,0.169,0.274,0.216,0.21,0.21,0.21,0.21,0.21
28/01/2012,10.514,35.5,21.5,25,0,0.339,0.167,0.274,0.216,0.21,0.21,0.21,0.21,0.21
29/01/2012,10.456,34.5,20,21,0,0.333,0.164,0.273,0.216,0.21,0.21,0.21,0.21,0.21
30/01/2012,11.414,28,21,16,8.9,3.325,0.22,0.273,0.216,0.21,0.21,0.21,0.21,0.21
31/01/2012,11.747,24,13,29,5.8,5.467,0.223,0.272,0.217,0.21,0.21,0.21,0.21,0.21
1/2/2012,10.757,28,11,29,0,0.99,0.214,0.272,0.217,0.21,0.21,0.21,0.21,0.21
2/2/2012,10.337,27.5,13.5,15,0,0.442,0.21,0.272,0.217,0.21,0.21,0.21,0.21,0.21
3/2/2012,10.304,31,14,25,0,0.428,0.206,0.271,0.217,0.21,0.21,0.21,0.21,0.21
4/2/2012,10.269,35,15,26,0,0.416,0.202,0.271,0.217,0.21,0.21,0.21,0.21,0.21
5/2/2012,10.232,32.5,23,14,0,0.405,0.198,0.27,0.217,0.21,0.21,0.21,0.21,0.21
6/2/2012,10.194,25.5,9.5,28,0.5,0.894,0.195,0.27,0.217,0.21,0.21,0.21,0.21,0.21
7/2/2012,10.155,25.5,10.5,26,0,0.385,0.191,0.27,0.218,0.21,0.21,0.21,0.21,0.21
8/2/2012,10.114,26,9,29,0,0.376,0.188,0.269,0.218,0.21,0.21,0.21,0.21,0.21
9/2/2012,10.072,27,9.5,25,0,0.367,0.185,0.269,0.218,0.21,0.21,0.21,0.21,0.21
10/2/2012,10.028,28.5,11.5,23,0,0.36,0.182,0.268,0.218,0.21,0.21,0.21,0.21,0.21
11/2/2012,9.983,27.5,14.5,23,0,0.352,0.178,0.268,0.218,0.21,0.21,0.21,0.21,0.21
12/2/2012,9.937,28,13.5,23,0,0.345,0.175,0.267,0.218,0.21,0.21,0.21,0.21,0.21
13/02/2012,9.891,29.5,13,27,0,0.339,0.173,0.267,0.218,0.21,0.21,0.21,0.21,0.21
14/02/2012,9.843,33,14.5,27,0,0.333,0.17,0.266,0.219,0.21,0.21,0.21,0.21,0.21
