Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4)
2012-01-01,6.455,39.0,17.0,31.0,0.0,7.345,0.127,0.139,0.156,0.156
2012-02-01,4.051,40.5,20.0,29.0,0.0,2.405,0.103,0.139,0.156,0.156
2012-03-01,2.671,38.5,22.0,20.0,0.0,1.38,0.089,0.139,0.156,0.156
2012-04-01,1.767,29.0,20.0,29.0,0.0,1.08,0.078,0.139,0.156,0.156
2012-05-01,1.753,28.5,11.0,30.0,0.0,0.918,0.069,0.139,0.156,0.156
2012-06-01,1.738,29.0,10.5,28.0,0.0,0.813,0.061,0.139,0.156,0.156
2012-07-01,1.721,34.5,14.5,18.0,0.0,0.737,0.054,0.139,0.156,0.156
2012-08-01,1.703,28.5,20.0,17.0,3.0,3.526,0.049,0.139,0.156,0.156
2012-09-01,1.683,24.5,11.5,24.0,0.4,1.043,0.043,0.139,0.156,0.156
2012-10-01,1.664,25.0,13.0,24.0,0.0,0.27,0.04,0.139,0.156,0.156
2012-11-01,1.644,21.5,12.0,24.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-12-01,1.624,24.5,7.5,27.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-13,1.604,25.5,12.5,24.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-14,1.585,26.0,12.0,32.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-15,1.565,31.0,12.0,31.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-16,1.545,33.5,16.5,30.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-17,1.526,36.0,21.5,27.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-18,1.506,35.0,22.0,26.0,0.3,0.32,0.04,0.138,0.156,0.156
2012-01-19,1.487,34.5,15.0,31.0,0.6,0.62,0.04,0.138,0.156,0.156
2012-01-20,1.467,34.0,14.0,27.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-21,1.448,33.0,15.5,31.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-22,1.428,34.5,19.5,30.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-23,1.409,33.5,19.5,31.0,0.0,0.02,0.04,0.138,0.156,0.156
2012-01-24,1.389,35.5,17.5,28.0,0.0,0.019,0.04,0.138,0.156,0.156
2012-01-25,1.37,37.0,17.0,30.0,0.0,0.019,0.04,0.138,0.156,0.156
2012-01-26,1.35,33.5,16.0,30.0,0.0,0.019,0.04,0.138,0.156,0.156
2012-01-27,1.331,36.0,17.0,29.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-01-28,1.312,35.5,21.5,25.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-01-29,1.292,34.5,20.0,22.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-01-30,1.887,28.0,21.0,16.0,7.9,3.325,0.086,0.137,0.156,0.156
2012-01-31,1.621,24.0,13.0,29.0,5.2,5.466,0.084,0.137,0.156,0.156
2012-01-02,1.258,28.0,11.0,29.0,0.0,1.392,0.07,0.137,0.156,0.156
2012-02-02,1.243,27.5,13.5,15.0,0.0,0.77,0.062,0.137,0.156,0.156
2012-03-02,1.227,31.5,14.0,24.0,0.0,0.705,0.055,0.137,0.156,0.156
2012-04-02,1.21,35.0,14.5,26.0,0.0,0.654,0.049,0.137,0.156,0.156
2012-05-02,1.191,32.0,23.0,14.0,0.1,0.712,0.043,0.137,0.156,0.156
2012-06-02,1.172,25.0,9.5,28.0,0.7,0.998,0.04,0.137,0.156,0.156
2012-07-02,1.153,25.0,10.5,25.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-08-02,1.134,25.5,9.0,29.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-09-02,1.115,27.0,9.5,25.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-10-02,1.095,28.5,11.5,23.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-11-02,1.076,27.0,14.0,23.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-12-02,1.057,27.5,14.0,23.0,0.0,0.019,0.04,0.137,0.156,0.156
2012-02-13,1.038,29.5,13.5,27.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-14,1.019,32.5,14.5,27.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-15,1.0,35.5,16.5,22.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-16,0.981,35.0,20.5,18.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-17,0.962,31.0,17.0,25.0,0.4,0.419,0.04,0.136,0.156,0.156
2012-02-18,0.943,33.5,14.5,24.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-19,0.925,31.0,18.5,12.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-20,0.906,26.5,19.0,13.0,0.4,0.419,0.04,0.136,0.156,0.156
2012-02-21,0.895,28.0,15.5,19.0,7.8,3.927,0.079,0.136,0.156,0.156
2012-02-22,0.878,31.0,14.5,25.0,0.0,2.725,0.052,0.136,0.156,0.156
2012-02-23,0.861,35.0,14.0,26.0,0.0,0.611,0.046,0.136,0.156,0.156
2012-02-24,0.842,37.5,14.5,26.0,0.0,0.576,0.04,0.136,0.156,0.156
2012-02-25,0.823,37.5,18.5,27.0,0.0,0.044,0.04,0.136,0.156,0.156
2012-02-26,0.804,35.0,23.5,22.0,0.0,0.019,0.04,0.136,0.156,0.156
2012-02-27,39.706,27.5,21.5,6.0,44.2,1.317,0.339,0.179,0.156,0.156
2012-02-28,60.516,26.0,19.5,8.0,26.0,1.715,0.336,0.249,0.156,0.156
2012-02-29,59.097,23.0,15.5,9.0,0.4,1.819,0.266,0.265,0.159,0.156
2012-01-03,91.483,24.0,16.5,7.0,53.6,1.453,0.342,0.312,0.195,0.156
2012-02-03,89.954,22.5,15.5,8.0,0.1,1.629,0.27,0.302,0.223,0.156
2012-03-03,93.694,18.0,15.5,6.0,4.9,1.16,0.26,0.295,0.247,0.156
2012-04-03,99.689,25.0,15.5,17.0,9.6,3.605,0.257,0.293,0.269,0.156
2012-05-03,96.551,22.5,12.5,18.0,0.0,3.138,0.203,0.284,0.285,0.156
2012-06-03,93.716,23.0,11.5,22.0,0.0,2.835,0.175,0.274,0.295,0.157
2012-07-03,92.288,23.5,12.5,25.0,0.0,1.427,0.162,0.268,0.3,0.157
2012-08-03,91.186,25.0,13.0,24.0,0.0,1.102,0.152,0.265,0.302,0.158
2012-09-03,90.254,27.5,11.5,23.0,0.0,0.932,0.143,0.262,0.303,0.16
2012-10-03,89.432,23.0,10.5,24.0,0.0,0.822,0.136,0.261,0.302,0.161
2012-11-03,88.688,25.0,9.0,20.0,0.0,0.744,0.13,0.26,0.302,0.162
2012-12-03,88.004,26.5,10.5,23.0,0.0,0.685,0.124,0.26,0.301,0.163
2012-03-13,87.366,29.5,10.0,23.0,0.0,0.637,0.119,0.26,0.3,0.163
2012-03-14,86.767,32.0,13.5,12.0,0.0,0.599,0.114,0.259,0.3,0.164
2012-03-15,86.201,30.5,18.5,14.0,0.1,0.667,0.109,0.259,0.3,0.164
2012-03-16,94.525,23.5,17.5,12.0,10.9,2.576,0.186,0.261,0.3,0.164
2012-03-17,90.27,23.0,10.5,22.0,0.2,4.455,0.145,0.26,0.3,0.164
2012-03-18,89.447,25.0,10.5,22.0,0.0,0.824,0.137,0.26,0.3,0.165
2012-03-19,88.701,26.0,12.0,22.0,0.0,0.745,0.131,0.26,0.299,0.165
2012-03-20,88.016,28.5,15.0,19.0,0.0,0.686,0.125,0.259,0.299,0.165
2012-03-21,87.378,21.5,16.5,15.0,0.1,0.738,0.12,0.259,0.299,0.165
2012-03-22,86.778,21.0,8.0,21.0,0.2,0.8,0.115,0.259,0.298,0.165
2012-03-23,86.211,19.0,10.5,19.0,0.0,0.567,0.11,0.259,0.298,0.166
2012-03-24,85.671,21.0,9.5,11.0,0.0,0.54,0.106,0.259,0.298,0.166
2012-03-25,85.156,21.0,8.5,15.0,0.0,0.516,0.102,0.258,0.297,0.166
2012-03-26,84.661,22.5,6.5,20.0,0.0,0.495,0.098,0.258,0.297,0.166
2012-03-27,84.185,22.0,10.0,14.0,0.0,0.476,0.094,0.258,0.297,0.166
2012-03-28,83.726,25.0,8.0,19.0,0.0,0.459,0.09,0.258,0.296,0.167
2012-03-29,83.282,28.0,10.5,19.0,0.0,0.444,0.087,0.258,0.296,0.167
2012-03-30,82.851,29.5,12.0,19.0,0.0,0.431,0.083,0.257,0.296,0.167
2012-03-31,82.433,32.0,15.0,16.0,0.0,0.418,0.08,0.257,0.295,0.167
2012-01-04,82.433,23.5,10.0,18.0,0.0,0.0,0.081,0.257,0.295,0.167
2012-02-04,82.236,27.5,7.0,17.0,0.0,0.226,0.08,0.257,0.295,0.168
2012-03-04,82.142,28.5,15.0,16.0,0.0,0.221,0.078,0.257,0.294,0.168
2012-04-04,82.047,29.0,11.5,19.0,0.0,0.216,0.077,0.256,0.294,0.168
2012-05-04,81.952,30.0,12.0,19.0,0.0,0.211,0.076,0.256,0.294,0.168
2012-06-04,81.857,31.0,13.0,15.0,0.0,0.206,0.075,0.256,0.293,0.168
2012-07-04,82.352,20.0,7.0,18.0,1.2,0.202,0.086,0.256,0.293,0.169
2012-08-04,82.154,19.5,6.0,11.0,0.0,0.198,0.085,0.256,0.293,0.169
2012-09-04,81.96,18.5,8.0,14.0,0.0,0.194,0.084,0.255,0.293,0.169
2012-10-04,81.869,18.0,3.5,15.0,0.1,0.191,0.084,0.255,0.292,0.169
2012-11-04,81.682,21.5,4.0,18.0,0.0,0.187,0.083,0.255,0.292,0.169
2012-12-04,81.498,23.5,4.0,18.0,0.0,0.184,0.082,0.255,0.292,0.17
2012-04-13,81.317,24.5,4.0,17.0,0.0,0.181,0.081,0.255,0.291,0.17
2012-04-14,81.139,27.0,6.5,15.0,0.0,0.178,0.08,0.254,0.291,0.17
2012-04-15,81.033,29.0,10.0,17.0,0.0,0.175,0.079,0.254,0.291,0.17
2012-04-16,80.942,26.0,10.0,17.0,0.0,0.173,0.078,0.254,0.29,0.17
2012-04-17,80.851,26.5,10.0,17.0,0.0,0.17,0.078,0.254,0.29,0.171
2012-04-18,80.759,26.0,10.5,16.0,0.0,0.168,0.077,0.254,0.29,0.171
2012-04-19,80.668,23.0,15.0,11.0,0.0,0.165,0.076,0.253,0.29,0.171
2012-04-20,82.524,26.0,10.5,14.0,2.4,0.163,0.099,0.253,0.289,0.171
2012-04-21,82.363,26.5,10.5,14.0,0.0,0.161,0.099,0.253,0.289,0.171
2012-04-22,82.504,24.5,14.5,12.0,2.0,1.859,0.101,0.253,0.289,0.171
2012-04-23,82.347,19.0,8.5,12.0,0.8,0.957,0.1,0.253,0.288,0.172
2012-04-24,82.192,13.5,4.5,10.0,0.2,0.355,0.1,0.252,0.288,0.172
2012-04-25,82.038,18.0,6.0,12.0,0.7,0.853,0.099,0.252,0.288,0.172
2012-04-26,81.887,18.0,7.0,8.0,0.0,0.152,0.099,0.252,0.288,0.172
2012-04-27,81.737,20.5,6.0,14.0,0.0,0.15,0.098,0.252,0.287,0.172
2012-04-28,81.589,21.5,4.0,15.0,0.0,0.148,0.097,0.252,0.287,0.172
2012-04-29,81.442,17.5,7.0,15.0,0.0,0.147,0.097,0.251,0.287,0.173
2012-04-30,81.297,17.5,4.0,10.0,0.0,0.145,0.096,0.251,0.287,0.173
2012-01-05,81.154,24.5,6.0,13.0,0.0,0.144,0.096,0.251,0.286,0.173
2012-02-05,81.011,17.0,11.5,12.0,1.2,1.342,0.095,0.251,0.286,0.173
2012-03-05,80.871,17.0,2.5,11.0,0.0,0.141,0.095,0.251,0.286,0.173
2012-04-05,80.731,15.5,3.5,8.0,0.0,0.139,0.094,0.25,0.285,0.174
2012-05-05,80.593,15.5,5.5,8.0,0.0,0.138,0.094,0.25,0.285,0.174
2012-06-05,80.457,17.0,2.5,11.0,0.0,0.137,0.093,0.25,0.285,0.174
2012-07-05,80.321,20.0,7.5,9.0,0.6,0.735,0.093,0.25,0.285,0.174
2012-08-05,80.187,23.5,7.5,13.0,0.0,0.134,0.092,0.25,0.284,0.174
2012-09-05,80.054,22.0,11.5,8.0,0.0,0.133,0.092,0.249,0.284,0.174
2012-10-05,79.922,21.0,4.5,13.0,0.0,0.132,0.091,0.249,0.284,0.175
2012-11-05,79.792,18.5,5.5,10.0,0.0,0.131,0.091,0.249,0.284,0.175
2012-12-05,79.662,16.0,2.0,12.0,0.0,0.13,0.09,0.249,0.283,0.175
2012-05-13,79.533,17.0,7.0,11.0,0.0,0.129,0.09,0.249,0.283,0.175
2012-05-14,79.406,18.0,4.0,10.0,0.0,0.127,0.089,0.248,0.283,0.175
2012-05-15,79.279,18.0,5.0,10.0,0.0,0.126,0.089,0.248,0.283,0.175
2012-05-16,79.154,18.5,5.5,10.0,0.0,0.125,0.089,0.248,0.282,0.176
