Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6)
2012-01-01,10.227,38.5,17.0,31.0,0.0,0.573,0.14,0.191,0.248,0.203,0.2,0.2
2012-02-01,9.682,40.5,20.5,29.0,0.0,0.545,0.137,0.191,0.248,0.203,0.2,0.2
2012-03-01,9.162,39.0,22.5,20.0,0.0,0.52,0.133,0.191,0.248,0.203,0.2,0.2
2012-04-01,8.664,29.0,20.5,29.0,0.0,0.498,0.13,0.191,0.248,0.203,0.2,0.2
2012-05-01,8.185,29.0,11.0,30.0,0.0,0.479,0.127,0.191,0.248,0.203,0.2,0.2
2012-06-01,7.722,29.0,10.5,28.0,0.0,0.462,0.123,0.191,0.248,0.203,0.2,0.2
2012-07-01,7.275,35.0,14.5,19.0,0.0,0.447,0.121,0.191,0.248,0.203,0.2,0.2
2012-08-01,6.842,28.5,20.0,17.0,2.8,3.233,0.118,0.191,0.248,0.203,0.2,0.2
2012-09-01,6.422,24.5,11.5,24.0,0.1,0.52,0.115,0.191,0.248,0.203,0.2,0.2
2012-10-01,6.013,25.0,13.0,24.0,0.0,0.409,0.112,0.191,0.248,0.203,0.2,0.2
2012-11-01,5.615,22.0,12.5,24.0,0.0,0.398,0.109,0.191,0.248,0.203,0.2,0.2
2012-12-01,5.227,24.5,7.5,28.0,0.0,0.388,0.107,0.191,0.248,0.203,0.2,0.2
2012-01-13,4.848,25.5,12.0,25.0,0.0,0.379,0.104,0.191,0.248,0.203,0.2,0.2
2012-01-14,4.478,26.0,12.0,32.0,0.0,0.37,0.102,0.191,0.248,0.203,0.2,0.2
2012-01-15,4.115,31.5,12.0,31.0,0.0,0.362,0.099,0.191,0.248,0.203,0.2,0.2
2012-01-16,3.76,33.5,16.5,30.0,0.0,0.355,0.097,0.191,0.248,0.203,0.2,0.2
2012-01-17,3.413,36.0,21.5,27.0,0.0,0.348,0.095,0.191,0.248,0.203,0.2,0.2
2012-01-18,3.072,35.0,22.0,26.0,0.0,0.341,0.092,0.191,0.248,0.203,0.2,0.2
2012-01-19,2.737,34.5,15.0,31.0,1.2,1.535,0.09,0.191,0.248,0.203,0.2,0.2
2012-01-20,2.408,34.5,14.0,26.0,0.0,0.329,0.088,0.191,0.248,0.203,0.2,0.2
2012-01-21,2.085,33.5,15.0,31.0,0.0,0.323,0.086,0.191,0.248,0.203,0.2,0.2
2012-01-22,1.767,34.5,19.5,30.0,0.0,0.318,0.084,0.191,0.248,0.203,0.2,0.2
2012-01-23,1.455,33.5,19.5,31.0,0.0,0.313,0.082,0.191,0.248,0.203,0.2,0.2
2012-01-24,1.147,35.0,18.0,28.0,0.0,0.308,0.08,0.191,0.248,0.203,0.2,0.2
2012-01-25,0.844,37.0,17.0,30.0,0.0,0.303,0.078,0.191,0.248,0.203,0.2,0.2
2012-01-26,0.545,33.5,16.5,30.0,0.0,0.299,0.076,0.191,0.248,0.203,0.2,0.2
2012-01-27,0.251,36.0,17.0,29.0,0.0,0.294,0.074,0.191,0.248,0.203,0.2,0.2
2012-01-28,0.0,35.5,21.5,25.0,0.0,0.29,0.072,0.191,0.248,0.203,0.2,0.2
2012-01-29,0.0,34.5,20.0,21.0,0.0,0.286,0.07,0.191,0.248,0.203,0.2,0.2
2012-01-30,5.315,28.0,21.0,16.0,8.9,3.259,0.107,0.191,0.248,0.203,0.2,0.2
2012-01-31,5.758,24.0,13.0,29.0,5.8,5.357,0.11,0.191,0.248,0.203,0.2,0.2
2012-01-02,4.739,28.0,11.0,29.0,0.0,1.019,0.104,0.191,0.248,0.203,0.2,0.2
2012-02-02,4.371,27.5,13.5,15.0,0.0,0.368,0.101,0.191,0.248,0.203,0.2,0.2
2012-03-02,4.011,31.0,14.0,25.0,0.0,0.36,0.099,0.191,0.248,0.203,0.2,0.2
2012-04-02,3.658,35.0,15.0,26.0,0.0,0.353,0.096,0.191,0.248,0.203,0.2,0.2
2012-05-02,3.312,32.5,23.0,14.0,0.0,0.346,0.094,0.191,0.248,0.203,0.2,0.2
2012-06-02,2.973,25.5,9.5,28.0,0.5,0.839,0.092,0.191,0.248,0.203,0.2,0.2
2012-07-02,2.64,25.5,10.5,26.0,0.0,0.333,0.09,0.191,0.248,0.203,0.2,0.2
2012-08-02,2.313,26.0,9.0,29.0,0.0,0.327,0.087,0.191,0.248,0.203,0.2,0.2
2012-09-02,1.992,27.0,9.5,25.0,0.0,0.322,0.085,0.191,0.248,0.203,0.2,0.2
2012-10-02,1.675,28.5,11.5,23.0,0.0,0.316,0.083,0.191,0.248,0.203,0.2,0.2
2012-11-02,1.364,27.5,14.5,23.0,0.0,0.311,0.081,0.191,0.248,0.203,0.2,0.2
2012-12-02,1.058,28.0,13.5,23.0,0.0,0.306,0.079,0.191,0.248,0.203,0.2,0.2
2012-02-13,0.756,29.5,13.0,27.0,0.0,0.302,0.077,0.191,0.248,0.203,0.2,0.2
2012-02-14,0.458,33.0,14.5,27.0,0.0,0.297,0.075,0.191,0.248,0.203,0.2,0.2
2012-02-15,0.165,35.5,16.5,22.0,0.0,0.293,0.073,0.191,0.248,0.203,0.2,0.2
2012-02-16,0.0,35.5,21.0,18.0,0.0,0.289,0.071,0.191,0.248,0.203,0.2,0.2
2012-02-17,0.0,31.5,17.0,25.0,0.2,0.485,0.069,0.191,0.248,0.203,0.2,0.2
2012-02-18,0.0,33.5,14.5,24.0,0.0,0.282,0.067,0.191,0.248,0.203,0.2,0.2
2012-02-19,0.0,31.0,18.5,12.0,0.0,0.278,0.066,0.191,0.248,0.203,0.2,0.2
