Date,esw,MaxT,MinT,Radn,Rain,es,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6),sws(7),sws(8)
2012-01-01,23.175,38.5,17.0,31.0,0.0,7.225,0.327,0.286,0.21,0.21,0.21,0.21,0.21,0.21
2012-02-01,20.692,40.5,20.5,29.0,0.0,2.483,0.302,0.286,0.211,0.21,0.21,0.21,0.21,0.21
2012-03-01,19.301,39.0,22.5,20.0,0.0,1.391,0.288,0.286,0.211,0.21,0.21,0.21,0.21,0.21
2012-04-01,18.215,29.0,20.5,29.0,0.0,1.086,0.277,0.286,0.211,0.21,0.21,0.21,0.21,0.21
2012-05-01,17.294,29.0,11.0,30.0,0.0,0.922,0.268,0.285,0.211,0.21,0.21,0.21,0.21,0.21
2012-06-01,16.478,29.0,10.5,28.0,0.0,0.815,0.26,0.285,0.211,0.21,0.21,0.21,0.21,0.21
2012-07-01,15.74,35.0,14.5,19.0,0.0,0.739,0.253,0.284,0.212,0.21,0.21,0.21,0.21,0.21
2012-08-01,15.059,28.5,20.0,17.0,2.8,3.481,0.247,0.284,0.212,0.21,0.21,0.21,0.21,0.21
2012-09-01,14.425,24.5,11.5,24.0,0.1,0.734,0.241,0.284,0.212,0.21,0.21,0.21,0.21,0.21
2012-10-01,13.829,25.0,13.0,24.0,0.0,0.596,0.235,0.283,0.212,0.21,0.21,0.21,0.21,0.21
2012-11-01,13.264,22.0,12.5,24.0,0.0,0.564,0.23,0.283,0.213,0.21,0.21,0.21,0.21,0.21
2012-12-01,12.727,24.5,7.5,28.0,0.0,0.537,0.225,0.282,0.213,0.21,0.21,0.21,0.21,0.21
2012-01-13,12.214,25.5,12.0,25.0,0.0,0.513,0.22,0.282,0.213,0.21,0.21,0.21,0.21,0.21
2012-01-14,11.721,26.0,12.0,32.0,0.0,0.493,0.215,0.281,0.213,0.21,0.21,0.21,0.21,0.21
2012-01-15,11.247,31.5,12.0,31.0,0.0,0.474,0.211,0.281,0.214,0.21,0.21,0.21,0.21,0.21
2012-01-16,11.116,33.5,16.5,30.0,0.0,0.458,0.207,0.28,0.214,0.21,0.21,0.21,0.21,0.21
2012-01-17,11.073,36.0,21.5,27.0,0.0,0.443,0.203,0.28,0.214,0.21,0.21,0.21,0.21,0.21
